sample_id,trunk_lean_deg,knee_valgus_deg,balance_score
sample_000,12.49080237694725,9.177793420835693,56.10191174223894
sample_001,24.01428612819832,2.0924079097806274,74.75884550556351
sample_002,19.6398788362281,4.3821697280282725,51.71942605576092
sample_003,16.973169683940732,5.495427649405375,95.4660201039391
sample_004,8.12037280884873,6.841049763255539,62.93899908000085
sample_005,8.119890406724053,11.777639420895204,83.1261142176991
sample_006,6.16167224336399,2.995106732375396,65.58555380447055
sample_007,22.323522915498703,7.713516576204174,76.00340105889055
sample_008,17.022300234864176,8.886218532930638,77.33551396716399
sample_009,19.16145155592091,0.6967561907999659,59.24272277627635
sample_010,5.411689885916049,9.113172778521575,98.47923138822793
sample_011,24.398197043239886,2.557861855309373,88.75664116805572
sample_012,21.648852816008436,0.9757738947791927,96.97494707820945
sample_013,9.246782213565524,14.233283058799998,94.74136752138244
sample_014,8.636499344142013,14.48448049611839,79.89499894055426
sample_015,8.668090197068675,12.125960221746917,96.09371175115584
sample_016,11.084844859190754,4.56920653760056,54.424625102595975
sample_017,15.495128632644757,1.465081710095758,59.79914312095726
sample_018,13.638900372842315,10.263495397682354,52.2613644455269
sample_019,10.824582803960839,6.602287406094019,66.26651653816322
