sample_id,metric_value,old_label
synthetic_000,28.663618432936918,NG
synthetic_001,19.073164614375074,WARN
synthetic_002,11.534869458305817,WARN
synthetic_003,20.48392454313207,NG
synthetic_004,21.08512008717193,NG
synthetic_005,9.531726086101639,OK
synthetic_006,26.39493860652042,NG
synthetic_007,10.993428306022466,WARN
synthetic_008,13.046059712816051,WARN
synthetic_009,9.723471397657631,OK
synthetic_010,16.173439510684403,WARN
synthetic_011,19.061051228130097,WARN
synthetic_012,18.875424941518055,WARN
synthetic_013,13.158425631014783,WARN
synthetic_014,31.118528947223794,NG
synthetic_015,9.531693250553328,OK
synthetic_016,11.295377076201385,WARN
synthetic_017,19.068540492859487,WARN
synthetic_018,27.92144648535218,NG
synthetic_019,16.550164334973935,WARN
